	Description	 Category 	 Subcategory 	 Payment 	 Date 	 Gains/Expenses 	Checking Balance		Is Curent Balance <$0?	Row # In Table	Next <$0 Balance Amount	Date <$0 Balance Occurs
	Uber	 Wants 	 Vacation Spending 	 Amazon CC 	12/22/2022	 $ (7.64)	 $ 688.59 		FALSE	-1	N/A	N/A
	Tequila Selecto Amatitan	 Wants 	 Vacation Spending 	 Amazon CC 	12/22/2022	 $ (63.70)	 $ 688.59 		FALSE	-1	N/A	N/A
	La Insurgente	 Wants 	 Vacation Spending 	 Amazon CC 	12/22/2022	 $ (24.64)	 $ 688.59 		FALSE	-1	N/A	N/A
	Uber	 Wants 	 Vacation Spending 	 Amazon CC 	12/22/2022	 $ (4.42)	 $ 688.59 		FALSE	-1	N/A	N/A
	Airbnb - Zamora	 Wants 	 Vacation Spending 	 Chase CC 	12/23/2022	 $ (110.44)	 $ 688.59 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	12/23/2022	 $ 2,089.54 	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Uber	 Wants 	 Vacation Spending 	 Amazon CC 	12/23/2022	 $ (7.17)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Uber	 Wants 	 Vacation Spending 	 Amazon CC 	12/23/2022	 $ (12.94)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	16 de Septiembre	 Wants 	 Vacation Spending 	 Amazon CC 	12/23/2022	 $ (5.02)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	La Lola	 Wants 	 Vacation Spending 	 Amazon CC 	12/23/2022	 $ (18.10)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Uber	 Wants 	 Vacation Spending 	 Amazon CC 	12/23/2022	 $ (9.73)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Uber	 Wants 	 Vacation Spending 	 Amazon CC 	12/23/2022	 $ (7.16)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Oxxo	 Wants 	 Vacation Spending 	 Amazon CC 	12/24/2022	 $ (16.42)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	 Subscriptions 	 Capital One CC 	12/26/2022	 $ (14.99)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Cava del Centro	 Wants 	 Vacation Spending 	 Amazon CC 	12/26/2022	 $ (56.99)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Bus Tickets	 Wants 	 Vacation Spending 	 Amazon CC 	12/26/2022	 $ (41.68)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Punjabi Tandoor	 Wants 	 Free Spending 	 Chase CC 	12/27/2022	 $ (49.41)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Rover (Tip)	 Wants 	 Vacation Spending 	 Chase CC 	12/27/2022	 $ (40.00)	 $ 2,778.13 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	 Vacation Spending 	 Checking 	12/27/2022	 $ (118.13)	 $ 2,660.00 		FALSE	-1	N/A	N/A
	COVID-19 Reimbursement	 Wants 	 Free Spending 	 Checking 	12/27/2022	 $ 86.11 	 $ 2,746.11 		FALSE	-1	N/A	N/A
	Groceries	 Needs 	 Placeholder 	 Citi CC 	12/27/2022	 $ -   	 $ 2,746.11 		FALSE	-1	N/A	N/A
	Free Spending	 Wants 	 Placeholder 	 Chase CC 	12/27/2022	 $ -   	 $ 2,746.11 		FALSE	-1	N/A	N/A
	Gas	 Needs 	 Placeholder 	 Citi CC 	12/27/2022	 $ -   	 $ 2,746.11 		FALSE	-1	N/A	N/A
	Subway	 Wants 	 Vacation Spending 	 Amazon CC 	12/27/2022	 $ (19.29)	 $ 2,746.11 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	 Checking 	12/28/2022	 $ (83.99)	 $ 2,662.12 		FALSE	-1	N/A	N/A
	Lyft	 Wants 	 Vacation Spending 	 Chase CC 	12/29/2022	 $ (63.99)	 $ 2,662.12 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	12/29/2022	 $ (16.69)	 $ 2,662.12 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	12/29/2022	 $ (145.60)	 $ 2,516.52 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	 Subscriptions 	 Capital One CC 	12/29/2022	 $ (9.99)	 $ 2,516.52 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	12/30/2022	 $ (21.17)	 $ 2,516.52 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	12/31/2022	 $ (213.61)	 $ 2,516.52 		FALSE	-1	N/A	N/A
	Costco	 Wants 	 Free Spending 	 Chase CC 	12/31/2022	 $ (89.41)	 $ 2,516.52 		FALSE	-1	N/A	N/A
	Petsmart	 Wants 	 Free Spending 	 Chase CC 	12/31/2022	 $ (50.60)	 $ 2,516.52 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	12/31/2022	 $ (67.84)	 $ 2,516.52 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	12/31/2022	 $ (73.72)	 $ 2,516.52 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	12/31/2022	 $ 100.67 	 $ 2,617.19 		FALSE	-1	N/A	N/A
	Rent	 Income 	 Reimbursements 	 Checking 	1/1/2023	 $ 645.00 	 $ 3,262.19 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	1/2/2023	 $ (41.45)	 $ 3,262.19 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	1/2/2023	 $ (2,379.21)	 $ 882.98 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Citi CC 	1/2/2023	 $ (89.21)	 $ 882.98 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Citi CC 	1/2/2023	 $ (4.41)	 $ 882.98 		FALSE	-1	N/A	N/A
	Kushagram	 Wants 	 Free Spending 	 Checking 	1/3/2023	 $ (65.00)	 $ 817.98 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	1/6/2023	 $ (10.66)	 $ 807.32 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	1/6/2023	 $ 2,105.68 	 $ 2,913.00 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	1/6/2023	 $ (50.00)	 $ 2,863.00 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	 Retirement 	 Checking 	1/6/2023	 $ (350.00)	 $ 2,513.00 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	1/6/2023	 $ (406.62)	 $ 2,106.38 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	1/6/2023	 $ (1,574.05)	 $ 532.33 		FALSE	-1	N/A	N/A
	Capital One CC	 CC Payment 	 CC Payment 	 Checking 	1/6/2023	 $ (47.97)	 $ 484.36 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Chase CC 	1/7/2023	 $ (5.50)	 $ 484.36 		FALSE	-1	N/A	N/A
	Nate's Korner	 Wants 	 Free Spending 	 Chase CC 	1/7/2023	 $ (30.38)	 $ 484.36 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Laundry 	 Chase CC 	1/7/2023	 $ (25.00)	 $ 484.36 		FALSE	-1	N/A	N/A
	Northgate Market	 Wants 	 Free Spending 	 Citi CC 	1/7/2023	 $ (27.30)	 $ 484.36 		FALSE	-1	N/A	N/A
	San Juan Capistrano Parking	 Wants 	 Free Spending 	 Chase CC 	1/8/2023	 $ (8.00)	 $ 484.36 		FALSE	-1	N/A	N/A
	Capo Cigar Lounge	 Wants 	 Free Spending 	 Chase CC 	1/8/2023	 $ (16.15)	 $ 484.36 		FALSE	-1	N/A	N/A
	Kaisen Kaiten Sushi	 Wants 	 Free Spending 	 Chase CC 	1/8/2023	 $ (45.00)	 $ 484.36 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	1/8/2023	 $ (20.00)	 $ 484.36 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	1/11/2023	 $ (152.69)	 $ 331.67 		FALSE	-1	N/A	N/A
	Ra Yoga	 Wants 	 Subscriptions 	 Chase CC 	1/11/2023	 $ (129.00)	 $ 331.67 		FALSE	-1	N/A	N/A
	Triunfo Jiu Jitsu	 Wants 	 Subscriptions 	 Chase CC 	1/12/2023	 $ (125.00)	 $ 331.67 		FALSE	-1	N/A	N/A
	Irvine Grill	 Wants 	 Free Spending 	 Chase CC 	1/13/2023	 $ (75.00)	 $ 331.67 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	1/14/2023	 $ (10.00)	 $ 331.67 		FALSE	-1	N/A	N/A
	OCMA Parking	 Wants 	 Free Spending 	 Chase CC 	1/15/2023	 $ (7.00)	 $ 331.67 		FALSE	-1	N/A	N/A
	Tinder Box	 Wants 	 Free Spending 	 Chase CC 	1/15/2023	 $ (30.60)	 $ 331.67 		FALSE	-1	N/A	N/A
	Shibuyala	 Wants 	 Free Spending 	 Chase CC 	1/15/2023	 $ (6.81)	 $ 331.67 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	1/16/2023	 $ (22.19)	 $ 331.67 		FALSE	-1	N/A	N/A
	Fandango	 Wants 	 Free Spending 	 Chase CC 	1/16/2023	 $ (38.96)	 $ 331.67 		FALSE	-1	N/A	N/A
	AMC Tustin	 Wants 	 Free Spending 	 Chase CC 	1/16/2023	 $ (22.06)	 $ 331.67 		FALSE	-1	N/A	N/A
	Del Taco	 Wants 	 Free Spending 	 Chase CC 	1/17/2023	 $ (12.16)	 $ 331.67 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Citi CC 	1/17/2023	 $ (12.14)	 $ 331.67 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	1/19/2023	 $ (56.11)	 $ 331.67 		FALSE	-1	N/A	N/A
	YouTube Premium	 Wants 	 Subscriptions 	 Capital One CC 	1/20/2023	 $ (22.99)	 $ 331.67 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	1/20/2023	 $ (34.99)	 $ 331.67 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	1/20/2023	 $ 2,310.83 	 $ 2,642.50 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	1/20/2023	 $ (50.00)	 $ 2,592.50 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	 Retirement 	 Checking 	1/20/2023	 $ (350.00)	 $ 2,242.50 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	1/20/2023	 $ (865.51)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	1/20/2023	 $ (230.79)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Costco Food Court	 Wants 	 Free Spending 	 Chase CC 	1/20/2023	 $ (3.76)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Noodology	 Wants 	 Free Spending 	 Chase CC 	1/22/2023	 $ (44.15)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	1/25/2023	 $ (10.54)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Laundry 	 Chase CC 	1/25/2023	 $ (25.00)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Citi CC 	1/25/2023	 $ (12.68)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Dave's Hot Chicken	 Wants 	 Free Spending 	 Chase CC 	1/26/2023	 $ (28.12)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	1/26/2023	 $ (40.62)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	 Subscriptions 	 Capital One CC 	1/26/2023	 $ (14.99)	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Groceries	 Needs 	 Placeholder 	 Citi CC 	1/27/2023	 $ -   	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Free Spending	 Wants 	 Placeholder 	 Chase CC 	1/27/2023	 $ -   	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Gas	 Needs 	 Placeholder 	 Citi CC 	1/27/2023	 $ -   	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Placeholder 	 Chase CC 	1/27/2023	 $ -   	 $ 1,376.99 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	1/27/2023	 $ (145.60)	 $ 1,231.39 		FALSE	-1	N/A	N/A
	Domino's	 Wants 	 Free Spending 	 Chase CC 	1/28/2023	 $ (41.00)	 $ 1,231.39 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	1/28/2023	 $ (19.38)	 $ 1,231.39 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	 Checking 	1/28/2023	 $ (89.99)	 $ 1,141.40 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	1/29/2023	 $ (10.85)	 $ 1,141.40 		FALSE	-1	N/A	N/A
	The Boiling Crab	 Wants 	 Free Spending 	 Chase CC 	1/29/2023	 $ (76.64)	 $ 1,141.40 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	 Subscriptions 	 Capital One CC 	1/29/2023	 $ (9.99)	 $ 1,141.40 		FALSE	-1	N/A	N/A
	Airbnb - San Francisco	 Wants 	 Free Spending 	 Chase CC 	1/30/2023	 $ (474.06)	 $ 1,141.40 		FALSE	-1	N/A	N/A
	Wholesome Choice	 Wants 	 Free Spending 	 Citi CC 	1/30/2023	 $ (43.28)	 $ 1,141.40 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	1/31/2023	 $ 118.34 	 $ 1,259.74 		FALSE	-1	N/A	N/A
	McDonald's	 Income 	 Reimbursements 	 Checking 	1/31/2023	 $ 20.00 	 $ 1,279.74 		FALSE	-1	N/A	N/A
	Rent	 Income 	 Reimbursements 	 Checking 	2/1/2023	 $ 645.00 	 $ 1,924.74 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	2/1/2023	 $ (10.00)	 $ 1,924.74 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	2/3/2023	 $ (122.67)	 $ 1,924.74 		FALSE	-1	N/A	N/A
	Pearl Vet Visit	 Needs 	 Emergency 	 Chase CC 	2/3/2023	 $ (208.18)	 $ 1,924.74 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	2/3/2023	 $ 2,310.83 	 $ 4,235.57 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	2/3/2023	 $ (50.00)	 $ 4,185.57 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	 Retirement 	 Checking 	2/3/2023	 $ (350.00)	 $ 3,835.57 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	2/3/2023	 $ (2,380.08)	 $ 1,455.49 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	2/3/2023	 $ (10.66)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	2/4/2023	 $ (23.00)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Ikea	 Needs 	 Groceries 	 Chase CC 	2/4/2023	 $ (4.99)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Ikea	 Wants 	 Free Spending 	 Chase CC 	2/4/2023	 $ (6.98)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Uroko Cafe	 Wants 	 Free Spending 	 Chase CC 	2/4/2023	 $ (17.75)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Whole Foods	 Needs 	 Groceries 	 Amazon CC 	2/4/2023	 $ (25.02)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Target	 Needs 	 Groceries 	 Chase CC 	2/5/2023	 $ (104.41)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Laundry 	 Chase CC 	2/7/2023	 $ (35.00)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	2/7/2023	 $ (26.24)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	See's Candies	 Wants 	 Free Spending 	 Chase CC 	2/8/2023	 $ (38.00)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	2/8/2023	 $ (70.44)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Costco	 Wants 	 Free Spending 	 Chase CC 	2/8/2023	 $ (3.76)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Petsmart	 Wants 	 Free Spending 	 Chase CC 	2/8/2023	 $ (40.40)	 $ 1,444.83 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	2/8/2023	 $ (159.28)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	2/9/2023	 $ (20.69)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	2/9/2023	 $ (10.00)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	2/10/2023	 $ (14.73)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Target	 Wants 	 Free Spending 	 Chase CC 	2/10/2023	 $ (32.61)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Chronic Tacos	 Wants 	 Free Spending 	 Chase CC 	2/11/2023	 $ (13.90)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Chase CC 	2/11/2023	 $ (6.78)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Ra Yoga	 Wants 	 Subscriptions 	 Chase CC 	2/11/2023	 $ (129.00)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	2/12/2023	 $ (28.65)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Gossby	 Wants 	 Free Spending 	 Chase CC 	2/12/2023	 $ (23.98)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Costco	 Wants 	 Free Spending 	 Chase CC 	2/12/2023	 $ (37.69)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Triunfo Jiu Jitsu	 Wants 	 Subscriptions 	 Chase CC 	2/12/2023	 $ (125.00)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Target	 Wants 	 Free Spending 	 Chase CC 	2/12/2023	 $ (18.31)	 $ 1,285.55 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	2/13/2023	 $ (105.64)	 $ 1,179.91 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	2/13/2023	 $ (151.51)	 $ 1,028.40 		FALSE	-1	N/A	N/A
	Capital One CC	 CC Payment 	 CC Payment 	 Checking 	2/13/2023	 $ (47.97)	 $ 980.43 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Laundry 	 Chase CC 	2/16/2023	 $ (25.00)	 $ 980.43 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	2/16/2023	 $ (71.15)	 $ 980.43 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	2/16/2023	 $ (22.95)	 $ 980.43 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	2/17/2023	 $ 2,310.84 	 $ 3,291.27 		FALSE	-1	N/A	N/A
	Chevron	 Needs 	 Gas 	 Citi CC 	2/17/2023	 $ (50.84)	 $ 3,291.27 		FALSE	-1	N/A	N/A
	Gym Reimbursement	 Income 	 Reimbursements 	 Checking 	2/17/2023	 $ 120.00 	 $ 3,411.27 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	 Retirement 	 Checking 	2/17/2023	 $ (349.62)	 $ 3,061.65 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	2/17/2023	 $ (1,430.16)	 $ 1,631.49 		FALSE	-1	N/A	N/A
	Zelle - Stephanie	 Wants 	 Vacation Spending 	 Checking 	2/17/2023	 $ (20.00)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	Carl's Jr	 Wants 	 Vacation Spending 	 Chase CC 	2/17/2023	 $ (26.64)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	Photasia	 Wants 	 Vacation Spending 	 Chase CC 	2/17/2023	 $ (40.72)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	Lucho's	 Wants 	 Vacation Spending 	 Chase CC 	2/17/2023	 $ (47.25)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	SF Parking	 Wants 	 Vacation Spending 	 Chase CC 	2/17/2023	 $ (2.25)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	SF Parking	 Wants 	 Vacation Spending 	 Chase CC 	2/17/2023	 $ (3.00)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	Royal Gas Zone	 Needs 	 Gas 	 Citi CC 	2/18/2023	 $ (52.38)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	Joanie's Cafe	 Wants 	 Vacation Spending 	 Chase CC 	2/18/2023	 $ (57.00)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	Truya Sushi	 Wants 	 Vacation Spending 	 Chase CC 	2/18/2023	 $ (107.00)	 $ 1,611.49 		FALSE	-1	N/A	N/A
	Truya Sushi	 Income 	 Reimbursements 	 Checking 	2/18/2023	 $ 32.00 	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Lyft	 Wants 	 Vacation Spending 	 Chase CC 	2/18/2023	 $ (18.95)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Mazra	 Wants 	 Vacation Spending 	 Chase CC 	2/19/2023	 $ (65.93)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Chevron	 Needs 	 Gas 	 Citi CC 	2/20/2023	 $ (28.18)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Love's	 Needs 	 Gas 	 Citi CC 	2/20/2023	 $ (19.43)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Verve Coffee	 Wants 	 Vacation Spending 	 Chase CC 	2/20/2023	 $ (10.75)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Sweet Maple	 Wants 	 Vacation Spending 	 Chase CC 	2/20/2023	 $ (60.00)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Casa de Fruta	 Needs 	 Groceries 	 Chase CC 	2/20/2023	 $ (36.35)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	YouTube Premium	 Wants 	 Subscriptions 	 Capital One CC 	2/20/2023	 $ (22.99)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	LA Fitness Annual Fee	 Wants 	 Free Spending 	 Chase CC 	2/20/2023	 $ (49.00)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	2/20/2023	 $ (34.99)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Renter's Insurance	 Needs 	 Renter's Insurance 	 Chase CC 	2/23/2023	 $ (59.50)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	BJJHQ	 Wants 	 Free Spending 	 Chase CC 	2/23/2023	 $ (42.00)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	2/25/2023	 $ (136.29)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	La Super Birria	 Wants 	 Free Spending 	 Chase CC 	2/25/2023	 $ (22.90)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	Everyday Eatery	 Wants 	 Free Spending 	 Chase CC 	2/25/2023	 $ (45.28)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	 Subscriptions 	 Capital One CC 	2/26/2023	 $ (15.99)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	2/26/2023	 $ (15.84)	 $ 1,643.49 		FALSE	-1	N/A	N/A
	McDonald's	 Income 	 Reimbursements 	 Checking 	2/27/2023	 $ 28.65 	 $ 1,672.14 		FALSE	-1	N/A	N/A
	Groceries	 Needs 	 Placeholder 	 Citi CC 	2/27/2023	 $ -   	 $ 1,672.14 		FALSE	-1	N/A	N/A
	Free Spending	 Wants 	 Placeholder 	 Chase CC 	2/27/2023	 $ -   	 $ 1,672.14 		FALSE	-1	N/A	N/A
	Gas	 Needs 	 Placeholder 	 Citi CC 	2/27/2023	 $ -   	 $ 1,672.14 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Placeholder 	 Chase CC 	2/27/2023	 $ -   	 $ 1,672.14 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	2/28/2023	 $ (146.88)	 $ 1,525.26 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	 Checking 	2/28/2023	 $ (67.99)	 $ 1,457.27 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	 Subscriptions 	 Capital One CC 	2/28/2023	 $ (9.99)	 $ 1,457.27 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	2/28/2023	 $ (10.00)	 $ 1,457.27 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	2/28/2023	 $ 114.63 	 $ 1,571.90 		FALSE	-1	N/A	N/A
	Rent	 Income 	 Reimbursements 	 Checking 	3/1/2023	 $ 645.00 	 $ 2,216.90 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	3/3/2023	 $ 2,383.91 	 $ 4,600.81 		FALSE	-1	N/A	N/A
	Roth IRA Contribution	 Savings 	 Retirement 	 Checking 	3/3/2023	 $ (350.00)	 $ 4,250.81 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	3/3/2023	 $ (2,384.22)	 $ 1,866.59 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	3/3/2023	 $ (10.66)	 $ 1,855.93 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	3/3/2023	 $ (197.47)	 $ 1,855.93 		FALSE	-1	N/A	N/A
	Costco	 Wants 	 Free Spending 	 Chase CC 	3/3/2023	 $ (42.01)	 $ 1,855.93 		FALSE	-1	N/A	N/A
	Zelle - Stephanie	 Wants 	 Free Spending 	 Checking 	3/5/2023	 $ (33.00)	 $ 1,822.93 		FALSE	-1	N/A	N/A
	Great Maple	 Wants 	 Free Spending 	 Chase CC 	3/5/2023	 $ (68.97)	 $ 1,822.93 		FALSE	-1	N/A	N/A
